file_check_id,source_summary_id,source_id,source_type,rights_status,pipeline_gap_status,review_lanes,phase_names,route_count,file_open_order,file_to_open,file_role,path_exists,source_summary_path,route_ids,result_scaffold_ids,action_ids,required_for_review,review_status,rights_decision_status,source_promotion_status,corpus_import_status,decipherment_claim_status,research_boundary,caution,updated_at
source-pipeline-phase-action-file-check-001,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,1,corpus/009_statistics-and-derived-features/132_ai-agent-source-pipeline-gap-matrix.csv,source_pipeline_gap_matrix,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-002,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,2,corpus/006_research-sources-and-bibliography/000_source-registers/001_all-sources-index.csv,source_register,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-003,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,3,corpus/009_statistics-and-derived-features/094_source-processing-pipeline-audit.csv,source_processing_pipeline_audit,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-004,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,4,corpus/009_statistics-and-derived-features/009_ai-agent-source-route-review-queue.csv,source_route_review_queue,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-005,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,5,corpus/006_research-sources-and-bibliography/000_source-registers/003_source-download-manifest.csv,source_download_manifest,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-006,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,6,project_registry/006_large-source-register/002_source-download-log.csv,source_download_log,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-007,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,7,corpus/006_research-sources-and-bibliography/000_source-registers/007_source-field-map.csv,source_field_map,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-008,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,8,corpus/006_research-sources-and-bibliography/000_source-registers/009_source-package-file-manifest.csv,source_package_file_manifest,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-009,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,9,corpus/006_research-sources-and-bibliography/000_source-registers/010_downloaded-metadata-profile.csv,downloaded_metadata_profile,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
source-pipeline-phase-action-file-check-010,source-pipeline-phase-action-source-summary-001,src-british-museum-oracle-bone,museum_collection,metadata_only_until_verified,needs_download_or_access_review,access_and_checksum_boundary_resolution,cleaned;downloaded;extracted;linked;structured;unpacked;verified,7,10,project_registry/006_large-source-register/001_large-source-register.csv,large_source_register,true,corpus/009_statistics-and-derived-features/140_source-pipeline-phase-action-source-summary.csv,source-pipeline-phase-action-route-001;source-pipeline-phase-action-route-002;source-pipeline-phase-action-route-003;source-pipeline-phase-action-route-004;source-pipeline-phase-action-route-005;source-pipeline-phase-action-route-006;source-pipeline-phase-action-route-007,source-pipeline-phase-action-result-scaffold-001;source-pipeline-phase-action-result-scaffold-002;source-pipeline-phase-action-result-scaffold-003;source-pipeline-phase-action-result-scaffold-004;source-pipeline-phase-action-result-scaffold-005;source-pipeline-phase-action-result-scaffold-006;source-pipeline-phase-action-result-scaffold-007,source-pipeline-phase-action-001;source-pipeline-phase-action-002;source-pipeline-phase-action-003;source-pipeline-phase-action-004;source-pipeline-phase-action-005;source-pipeline-phase-action-006;source-pipeline-phase-action-007,true,pending_human_review,no_new_rights_decision,not_promoted,not_imported,no_decipherment_claim,source_pipeline_phase_action_file_checklist_not_scholarship,"This source pipeline phase action file checklist only expands route files for source review. It is not collected evidence, not a reviewed outcome, not a rights decision, not source promotion, not a corpus import, and not a decipherment conclusion.",2026-06-19
